instnm,city,stabbr,zip,latitude,longitude,adm_rate,sat_mid_read,sat_mid_math,act_mid_cumulative,act_mid_english,act_mid_math,act_mid_writing,sat_avg,ug_enrol,nprice_pub_cat1,nprice_pub_cat2,nprice_pub_cat3,nprice_pub_cat4,nprice_pub_cat5,nprice_pvt_cat1,nprice_pvt_cat2,nprice_pvt_cat3,nprice_pvt_cat4,nprice_pvt_cat5,avg_cost_attendance,completion_rate,grad_debt_median,grad_debt_med_LY,grad_debt_med_MY,grad_debt_med_HY,female,married,avg_familyincome,median_householdincome,median_earn_aftr6yr,number_gradstudent,zipcode,own_sc_low,parent_sc_low,own_sc_high,parent_sc_high,merge1
American Conservatory Theater,San Francisco,CA,94102,37.786923,-122.410265,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,80150.07,NULL,23,94102,,,,,master only (1)
American Film Institute Conservatory,Los Angeles,CA,90027-1625,34.10767,-118.310018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,337,90027,,,,,master only (1)
American International College,Springfield,MA,01109,42.112346,-72.558338,0.6938,495,500,26,NULL,NULL,NULL,1015,1355,NULL,NULL,NULL,NULL,NULL,24505,23494,28455,31355,31696,51505,0.4375,27000,18750,20500,21535,0.5941520468,0.0374269006,55133.722807,62232.99,44961,1231,1109,1.25848,1.08204,1.5495501,1.26262,matched (3)
American Jewish University,Los Angeles,CA,90077-1519,34.128153,-118.471706,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3333,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5833333333,PrivacySuppressed,39505.166667,80280.56,NULL,56,90077,,,,,master only (1)
American Musical and Dramatic Academy,New York,NY,10023,40.772275,-73.987549,0.4441,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1395,NULL,NULL,NULL,NULL,NULL,37840,40524,48247,49233,54967,58517,0.71,12000,12000,12000,12000,0.6963722397,PrivacySuppressed,70316.116719,69550.04,25228,4,10023,1.76175,1.3348401,1.7970901,1.34392,matched (3)
American Samoa Community College,Pago Pago,AS,96799-2609,-14.322636,-170.742774,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1078,2684,1949,2715,3186,6406,NULL,NULL,NULL,NULL,NULL,8050,0.4766,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6439588689,0.0269922879,17873.66581,66132.33,23321,NULL,96799,.84762001,.88006002,.91209,.90257001,matched (3)
American University,Washington,DC,20016-8001,38.936005,-77.088875,0.3865,670,635,30,31,27,9,1328,7510,NULL,NULL,NULL,NULL,NULL,21108,20965,27374,33218,52924,66416,0.7911,23250,19500,20500,20500,0.6609547124,0.006119951,105098.73643,81657.17,55945,6048,20016,1.8693,1.61172,1.90611,1.6411999,matched (3)
American University of Puerto Rico,Manati,PR,00674-1082,18.434072,-66.478655,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,343,NULL,NULL,NULL,NULL,NULL,9653,10453,12976,NULL,NULL,17792,0.2022,5200,4500,PrivacySuppressed,PrivacySuppressed,0.5553235908,0.121085595,11703.077244,19719.59,19587,11,674,,,,,master only (1)
American University of Puerto Rico,Bayamon,PR,00960-2037,18.407058,-66.186631,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,278,NULL,NULL,NULL,NULL,NULL,9536,13351,10610,NULL,NULL,17887,0.1884,5200,4500,PrivacySuppressed,PrivacySuppressed,0.5553235908,0.121085595,11703.077244,19719.59,19587,13,960,,,,,master only (1)
Amherst College,Amherst,MA,01002-5000,42.372459,-72.518493,0.1183,740,755,34,35,32,NULL,1497,1745,NULL,NULL,NULL,NULL,NULL,4468,4459,7793,21718,50268,76750,0.9467,13800,6250,10945,15008,0.5439093484,PrivacySuppressed,78988.733711,82187.65,54333,NULL,1002,1.83368,1.48264,1.89931,1.58454,matched (3)
Amridge University,Montgomery,AL,36117-3553,32.362609,-86.17401,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,298,NULL,NULL,NULL,NULL,NULL,17385,15970,NULL,19500,NULL,20100,0.25,31417,9500,17220,24650,0.6486486486,0.2364864865,21079.472973,53683.7,32939,477,36117,,,,,master only (1)
Ana G. Mendez University,Orlando,FL,32822,18.388698,-66.061339,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1257,NULL,NULL,NULL,NULL,NULL,14670,11599,11683,14476,NULL,19627,NULL,PrivacySuppressed,4750,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,1248,32822,,,,,master only (1)
Anabaptist Mennonite Biblical Seminary,Elkhart,IN,46517-1999,41.656013,-85.972165,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,107,46517,,,,,master only (1)
Anderson University,Anderson,SC,29621-4035,34.5152,-82.640358,0.592,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2824,NULL,NULL,NULL,NULL,NULL,16031,18665,20006,22749,24837,44481,0.5717,27000,20000,22000,19549,0.6955882353,0.1161764706,76608.551471,56100.72,34089,765,29621,1.6083,1.37412,1.6957099,1.4321001,matched (3)
Anderson University,Anderson,IN,46012-3495,40.112768,-85.664315,0.665,525,530,22,21,22,NULL,1071,1198,NULL,NULL,NULL,NULL,NULL,18792,17325,21470,24872,28782,44342,0.6404,27000,14250,21000,20000,0.5635179153,0.0727470141,69729.815418,64040.72,38562,201,46012,1.693,1.41364,1.7884099,1.4445,matched (3)
