School,Zip Code,City,State,Admissions Rate,Median ACT,Average SAT,# of Undergrads,Graduation Rate, Median Debt After Graduation , Median Salary (2-years post-graduation) ,Economic Connectedness
Coe College,52402-5092,Cedar Rapids,IA,79.86%,Data Not Available,Data Not Available,1363,61.70%," $27,000.00 "," $43,025.00 ",84.65%
Coker University,29550,Hartsville,SC,93.06%,19,1008,950,53.28%," $26,991.00 "," $30,872.00 ",62.80%
Colby College,04901-8840,Waterville,ME,10.27%,33,1456,2155,90.42%," $19,862.00 "," $47,810.00 ",91.63%
Colby-Sawyer College,03257-7835,New London,NH,91.00%,Data Not Available,Data Not Available,871,64.76%," $27,000.00 "," $38,412.00 ",85.02%
Colegio Universitario de San Juan,918,San Juan,PR,87.50%,Data Not Available,Data Not Available,840,24.55%, Data Not Available ," $18,585.00 ",Data Not Available
Colgate Rochester Crozer Divinity School,14607,Rochester,NY,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Colgate University,13346-1398,Hamilton,NY,27.47%,32,1404,3032,90.87%," $16,000.00 "," $57,238.00 ",92.78%
College Unbound,02905-2340,Providence,RI,Data Not Available,Data Not Available,Data Not Available,137,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
College for Creative Studies,48202,Detroit,MI,55.38%,Data Not Available,Data Not Available,1392,54.74%," $26,000.00 "," $35,298.00 ",71.94%
College of Biblical Studies-Houston,77036-3211,Houston,TX,Data Not Available,Data Not Available,Data Not Available,431,40.00%," $25,376.00 "," $34,662.00 ",Data Not Available
College of Central Florida,34474,Ocala,FL,Data Not Available,Data Not Available,Data Not Available,4862,36.75%," $12,500.00 "," $28,343.00 ",43.67%
College of Charleston,29424-0001,Charleston,SC,74.32%,25,1175,9100,65.68%," $23,000.00 "," $40,114.00 ",82.77%
College of Coastal Georgia,31520-3644,Brunswick,GA,95.94%,19,1006,2976,23.26%," $16,000.00 "," $29,724.00 ",42.28%
College of Menominee Nation,54135-1179,Keshena,WI,Data Not Available,Data Not Available,Data Not Available,155,12.77%, Data Not Available ," $22,107.00 ",23.24%
College of Micronesia-FSM,96941,Pohnpei,FM,83.21%,Data Not Available,Data Not Available,1850,23.37%, Data Not Available ," $19,228.00 ",20.44%
College of Mount Saint Vincent,10471-1093,Bronx,NY,92.68%,20,1002,2235,62.67%," $25,000.00 "," $54,014.00 ",83.47%
College of Our Lady of the Elms,1013,Chicopee,MA,69.78%,23,1087,1020,64.17%," $25,000.00 "," $38,562.00 ",77.91%
College of Saint Benedict,56374,Saint Joseph,MN,84.01%,25,1201,1662,85.06%," $27,000.00 "," $47,749.00 ",87.94%
College of Saint Mary,68106,Omaha,NE,50.00%,Data Not Available,Data Not Available,672,60.56%," $25,500.00 "," $47,387.00 ",Data Not Available
College of Southern Nevada,89146-1164,Las Vegas,NV,Data Not Available,Data Not Available,Data Not Available,27605,14.99%," $8,500.00 "," $31,766.00 ",50.52%
College of Staten Island CUNY,10314,Staten Island,NY,Data Not Available,Data Not Available,Data Not Available,11345,31.27%," $14,263.00 "," $39,590.00 ",76.12%
College of the Atlantic,4609,Bar Harbor,ME,75.80%,Data Not Available,Data Not Available,364,65.82%," $24,501.00 "," $24,303.00 ",79.08%
College of the Holy Cross,01610-2395,Worcester,MA,37.94%,31,1371,2962,92.76%," $27,000.00 "," $64,279.00 ",91.17%
College of the Marshall Islands,96960,Majuro,MH,Data Not Available,Data Not Available,Data Not Available,1159,4.94%, Data Not Available ," $23,016.00 ",24.59%
College of the Ozarks,65726-0017,Point Lookout,MO,14.28%,23,1156,1486,60.08%, Data Not Available ," $31,255.00 ",76.01%
Colorado Christian University,80226,Lakewood,CO,Data Not Available,Data Not Available,Data Not Available,4804,60.79%," $27,700.00 "," $38,092.00 ",92.06%
Colorado College,80903,Colorado Springs,CO,13.60%,Data Not Available,Data Not Available,2023,87.98%," $18,303.00 "," $42,259.00 ",93.96%
Colorado Mesa University,81501-3122,Grand Junction,CO,75.44%,Data Not Available,Data Not Available,8146,37.00%," $22,000.00 "," $34,519.00 ",69.71%
Colorado Mountain College,81601-0233,Glenwood Springs,CO,Data Not Available,Data Not Available,Data Not Available,2938,25.12%," $11,000.00 "," $33,300.00 ",74.85%
Colorado School of Mines,80401,Golden,CO,54.97%,31,1372,5173,84.17%," $23,250.00 "," $76,135.00 ",89.12%
Colorado State University Pueblo,81001-4901,Pueblo,CO,94.31%,21,1022,3275,36.94%," $21,923.00 "," $42,908.00 ",70.97%
Colorado State University-Fort Collins,80523-0100,Fort Collins,CO,83.52%,26,1199,23332,70.21%," $20,500.00 "," $44,704.00 ",89.38%
Colorado State University-Global Campus,80011-0000,Aurora,CO,98.26%,21,1052,7528,Data Not Available," $25,000.00 "," $63,331.00 ",Data Not Available
Columbia Basin College,99301,Pasco,WA,Data Not Available,Data Not Available,Data Not Available,5867,32.62%," $12,500.00 "," $35,477.00 ",64.66%
Columbia College,29203,Columbia,SC,97.07%,19,964,977,66.18%," $22,258.00 "," $32,340.00 ",63.23%
Columbia College,65216,Columbia,MO,Data Not Available,Data Not Available,Data Not Available,7574,28.14%," $24,000.00 "," $34,516.00 ",Data Not Available
Columbia College Chicago,60605-1996,Chicago,IL,89.53%,Data Not Available,Data Not Available,6524,50.08%," $25,000.00 "," $33,096.00 ",85.05%
Columbia College Hollywood,91356-1411,Tarzana,CA,Data Not Available,Data Not Available,Data Not Available,760,58.24%," $22,333.00 "," $34,112.00 ",Data Not Available
Columbia College of Nursing,53212,Glendale,WI,Data Not Available,Data Not Available,Data Not Available,Data Not Available,100.00%, Data Not Available , Data Not Available ,Data Not Available
Columbia International University,29203-1513,Columbia,SC,50.67%,21,1055,731,68.27%," $19,875.00 "," $30,586.00 ",76.56%
Columbia Theological Seminary,30030-4118,Decatur,GA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Columbia University in the City of New York,10027,New York,NY,6.66%,34,1517,8148,96.21%," $21,500.00 "," $79,434.00 ",91.07%
Columbus College of Art and Design,43215,Columbus,OH,91.69%,Data Not Available,Data Not Available,981,61.22%," $27,000.00 "," $33,277.00 ",78.86%
Columbus State University,31907-5645,Columbus,GA,78.32%,20,1007,6482,38.23%," $25,880.00 "," $33,372.00 ",57.91%
Community College of Denver,80204-2026,Denver,CO,Data Not Available,Data Not Available,Data Not Available,5761,18.49%," $12,178.00 "," $29,264.00 ",46.33%
Compass College of Film and Media,49503,Grand Rapids,MI,21.31%,Data Not Available,1095,72,78.38%," $27,000.00 "," $28,231.00 ",Data Not Available
Conception Seminary College,64433-0502,Conception,MO,100.00%,26,1255,40,25.00%, Data Not Available ," $33,978.00 ",Data Not Available
Concord University,24712,Athens,WV,91.40%,20,972,1452,37.65%," $18,557.00 "," $30,123.00 ",75.53%
Concordia College,10708-1998,Bronxville,NY,95.29%,21,1053,722,47.45%," $24,325.00 "," $48,513.00 ",87.01%
Concordia College at Moorhead,56562,Moorhead,MN,58.08%,24,1169,1873,67.59%," $26,490.00 "," $43,354.00 ",Data Not Available
Concordia Seminary,63105-3196,Saint Louis,MO,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Concordia Theological Seminary,46825-4996,Fort Wayne,IN,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Concordia University Ann Arbor,48105,Ann Arbor,MI,60.96%,22,1105,900,41.99%," $25,478.00 "," $43,294.00 ",Data Not Available
Concordia University Texas,78726,Austin,TX,92.95%,22,1086,1733,43.42%," $22,560.00 "," $46,496.00 ",87.87%
Concordia University-Chicago,60305-1499,River Forest,IL,78.54%,22,1099,1452,50.67%," $23,250.00 "," $39,415.00 ",85.07%
Concordia University-Irvine,92612-3203,Irvine,CA,78.18%,23,1128,1703,59.09%," $23,949.00 "," $47,319.00 ",89.24%
Concordia University-Nebraska,68434-1556,Seward,NE,75.83%,23,1138,1203,62.88%," $26,000.00 "," $37,114.00 ",83.62%
Concordia University-Saint Paul,55104-5494,Saint Paul,MN,68.60%,Data Not Available,Data Not Available,3222,47.52%," $18,194.00 "," $48,090.00 ",82.79%
Concordia University-Wisconsin,53097-2402,Mequon,WI,70.53%,23,1150,2744,60.94%," $25,478.00 "," $43,294.00 ",84.25%
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,11219-5440,Brooklyn,NY,Data Not Available,Data Not Available,Data Not Available,173,11.36%, Data Not Available , Data Not Available ,Data Not Available
Connecticut College,06320-4196,New London,CT,37.72%,32,1400,1711,81.93%," $23,250.00 "," $53,562.00 ",92.19%
Conservatory of Music of Puerto Rico,00907-3373,San Juan,PR,80.00%,Data Not Available,Data Not Available,351,60.00%," $10,625.00 "," $16,808.00 ",Data Not Available
Converse University,29302-0006,Spartanburg,SC,82.44%,19,1067,737,51.50%," $26,500.00 "," $31,585.00 ",Data Not Available
Conway School of Landscape Design,1060,Northampton,MA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Cooper Union for the Advancement of Science and Art,10003-7120,New York,NY,17.51%,32,1422,806,79.44%," $14,000.00 "," $44,726.00 ",Data Not Available
Coppin State University,21216-3698,Baltimore,MD,40.20%,20,902,2084,30.34%," $23,500.00 "," $35,933.00 ",63.09%
Corban University,97317-9392,Salem,OR,48.34%,21,1077,918,50.45%," $23,149.00 "," $35,666.00 ",84.73%
Cornell College,52314-1098,Mount Vernon,IA,82.41%,26,1224,996,67.43%," $27,000.00 "," $36,662.00 ",86.02%
Cornell University,14853,Ithaca,NY,10.71%,34,1480,14741,95.36%," $14,500.00 "," $78,779.00 ",90.81%
Cornerstone University,49525-5897,Grand Rapids,MI,86.97%,23,1067,1399,65.31%," $25,125.00 "," $36,194.00 ",85.33%
Cornish College of the Arts,98121,Seattle,WA,78.88%,Data Not Available,Data Not Available,481,51.88%," $27,000.00 "," $29,217.00 ",88.79%
Cottey College,64772,Nevada,MO,60.54%,22,1104,283,53.60%," $21,500.00 "," $29,230.00 ",75.66%
Covenant College,30750-4164,Lookout Mountain,GA,97.55%,26,1209,842,67.55%," $23,430.00 "," $35,233.00 ",83.74%
Covenant Theological Seminary,63141-8609,Saint Louis,MO,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Cox College,65802-1917,Springfield,MO,100.00%,Data Not Available,Data Not Available,741,50.00%," $20,000.00 "," $44,049.00 ",Data Not Available
Cranbrook Academy of Art,48304,Bloomfield Hills,MI,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Creighton University,68178,Omaha,NE,64.02%,Data Not Available,Data Not Available,4445,81.56%," $24,369.00 "," $55,076.00 ",89.17%
Criswell College,75246-1537,Dallas,TX,100.00%,20,1040,158,50.00%," $20,577.00 "," $39,066.00 ",Data Not Available
Crowley's Ridge College,72450,Paragould,AR,Data Not Available,Data Not Available,Data Not Available,172,38.71%," $26,206.00 "," $28,886.00 ",Data Not Available
Crown College,55375-9001,Saint Bonifacius,MN,46.89%,21,1063,729,60.45%," $25,000.00 "," $36,847.00 ",Data Not Available
Culinary Institute of America,12538-1499,Hyde Park,NY,96.68%,Data Not Available,Data Not Available,3102,69.82%," $14,000.00 "," $43,122.00 ",83.78%
Culver-Stockton College,63435-1299,Canton,MO,98.33%,20,1039,918,45.52%," $26,000.00 "," $34,105.00 ",79.69%
Cumberland University,37087,Lebanon,TN,53.76%,Data Not Available,Data Not Available,1947,53.93%," $18,632.00 "," $45,915.00 ",76.09%
Curry College,02186-2395,Milton,MA,92.71%,Data Not Available,1055,2164,54.94%," $25,487.00 "," $39,424.00 ",91.17%
Curtis Institute of Music,19103,Philadelphia,PA,2.44%,Data Not Available,Data Not Available,113,84.62%, Data Not Available , Data Not Available ,Data Not Available
Cypress College,90630-5897,Cypress,CA,Data Not Available,Data Not Available,Data Not Available,13906,30.40%," $10,500.00 "," $32,944.00 ",60.40%
D'Youville College,14201-1084,Buffalo,NY,83.07%,22,1064,1431,59.59%," $25,015.00 "," $52,087.00 ",68.00%
Daemen University,14226-3592,Amherst,NY,61.78%,Data Not Available,Data Not Available,1608,57.76%," $20,133.00 "," $45,662.00 ",Data Not Available
Dakota State University,57042-1799,Madison,SD,83.57%,23,1131,2031,48.51%," $23,375.00 "," $39,766.00 ",Data Not Available
Dakota Wesleyan University,57301-4398,Mitchell,SD,64.20%,21,1061,690,44.29%," $27,000.00 "," $42,282.00 ",84.96%
Dallas Baptist University,75211-9299,Dallas,TX,98.58%,24,1117,2736,55.69%," $20,500.00 "," $43,326.00 ",88.33%
