instnm,city,stabbr,zip,latitude,longitude,adm_rate,sat_mid_read,sat_mid_math,act_mid_cumulative,act_mid_english,act_mid_math,act_mid_writing,sat_avg,ug_enrol,nprice_pub_cat1,nprice_pub_cat2,nprice_pub_cat3,nprice_pub_cat4,nprice_pub_cat5,nprice_pvt_cat1,nprice_pvt_cat2,nprice_pvt_cat3,nprice_pvt_cat4,nprice_pvt_cat5,avg_cost_attendance,completion_rate,grad_debt_median,grad_debt_med_LY,grad_debt_med_MY,grad_debt_med_HY,female,married,avg_familyincome,median_householdincome,median_earn_aftr6yr,number_gradstudent,zipcode,own_sc_low,parent_sc_low,own_sc_high,parent_sc_high,_merge
Hawaii Community College,Hilo,HI,96720-5096,19.704756,-155.069653,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1815,11964,12338,13195,15191,17742,NULL,NULL,NULL,NULL,NULL,18142,NULL,9969,6500,5500,4785,0.572666025,0.126082772,21328.40039,51087.78,27811,NULL,96720,0.88879001,0.79462999,1.12256,0.92625999,matched (3)
Hawaii Institute of Hair Design,Honolulu,HI,96817-5195,21.31146,-157.861609,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72,NULL,NULL,NULL,NULL,NULL,18904,22789,19017,NULL,NULL,NULL,NULL,5500,4658,PrivacySuppressed,PrivacySuppressed,0.474025974,0.233766234,25630.92208,65523.94,18961,NULL,96817,,,,,master only (1)
Hawaii Medical College,Honolulu,HI,96814-3518,21.295164,-157.847652,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,150,NULL,NULL,NULL,NULL,NULL,38096,38693,38795,39770,40675,41885,NULL,10084,9500,9500,9111,0.919312169,0.181216931,27274.60053,NULL,34291,NULL,96814,,,,,master only (1)
Hawaii Pacific University,Honolulu,HI,96813,21.310306,-157.859645,0.814,525,540,21,20,20,NULL,1067,2652,NULL,NULL,NULL,NULL,NULL,26079,25254,29247,32487,32988,47698,0.4637,21384,12199,11400,12000,0.69441903,0.174748399,63441.80421,72804.49,44471,443,96813,1.58319,1.43739,1.62808,1.47263,matched (3)
Hawkeye Community College,Waterloo,IA,50701,42.430003,-92.330633,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2904,9553,9485,11707,14009,13910,NULL,NULL,NULL,NULL,NULL,15608,NULL,12000,9500,8251,8024,0.534383404,0.088359585,48491.8398,51835.93,33802,NULL,50701,1.2991199,0.88998002,1.60364,0.92567003,matched (3)
Hays Academy of Hair Design,Salina,KS,67401-0000,38.8398,-97.607551,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,NULL,NULL,NULL,NULL,9891,8452,12633,13320,NULL,NULL,NULL,9833,9500,8616,9833,PrivacySuppressed,0.096385542,38189.69277,NULL,22352,NULL,67401,,,,,master only (1)
Hays Academy of Hair Design,Hays,KS,67601,38.884873,-99.310623,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66,NULL,NULL,NULL,NULL,NULL,12290,11307,13451,14946,15198,NULL,NULL,9833,9500,8616,9833,PrivacySuppressed,0.096385542,38189.69277,45056.95,22352,NULL,67601,,,,,master only (1)
Haywood Community College,Clyde,NC,28721-9901,35.525905,-82.927918,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,949,5822,6602,10165,12549,NULL,NULL,NULL,NULL,NULL,NULL,14533,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.636107193,0.204513399,21506.20028,47721.5,27507,NULL,28721,0.51687002,0.68469,0.64254999,0.75364,matched (3)
Hazard Community and Technical College,Hazard,KY,41701-2402,37.234897,-83.175644,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1470,3243,4127,6145,8007,8730,NULL,NULL,NULL,NULL,NULL,11062,NULL,9487,7086,6500,5500,0.576190476,0.186507937,20044.16905,28303.42,22436,NULL,41701,0.68804997,0.28330001,0.75401002,0.3443,matched (3)
Hazelden Betty Ford Graduate School of Addiction Studies,Center City,MN,55012-0011,45.375319,-92.805285,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,174,55012,,,,,master only (1)
Hazleton Area Career Center,Hazle TWP.,PA,18202,40.971393,-75.99218,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,14831,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.208333333,30880.25,47882.84,48378,NULL,18202,,,,,master only (1)
Headmasters School of Hair Design,Lewiston,ID,83501,46.421026,-117.025943,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62,NULL,NULL,NULL,NULL,NULL,10693,15562,15562,NULL,NULL,NULL,NULL,11278,14167,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.303030303,29005.75758,47279.87,11209,NULL,83501,,,,,master only (1)
Healing Arts Center,St. Louis,MO,63122,38.603239,-90.387718,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,131,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6365,6365,PrivacySuppressed,PrivacySuppressed,0.797385621,0.169934641,27804.26797,NULL,23959,NULL,63122,,,,,master only (1)
Healing Hands School of Holistic Health,Escondido,CA,92025,33.129652,-117.086211,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,364,NULL,NULL,NULL,NULL,NULL,44928,44503,43962,47060,NULL,NULL,NULL,9457,7211,PrivacySuppressed,PrivacySuppressed,0.783783784,0.148648649,25771.06757,NULL,17178,NULL,92025,,,,,master only (1)
Healing Mountain Massage School,Salt Lake City,UT,84102-4002,40.761391,-111.876409,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,NULL,NULL,NULL,NULL,NULL,16813,17585,19641,21449,21449,NULL,NULL,8000,7809,PrivacySuppressed,PrivacySuppressed,0.811594203,0.34057971,35766.66667,61899.3,20752,NULL,84102,,,,,master only (1)
Health And Style Institute,Greensboro,NC,27407,36.037762,-79.840799,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,717,NULL,NULL,NULL,NULL,NULL,19706,NULL,NULL,NULL,NULL,NULL,NULL,8444,5500,6333,6222,0.966763006,0.156069364,24582.11561,NULL,14588,NULL,27407,,,,,master only (1)
Health and Technology Training Institute,Philadelphia,PA,19102-1024,39.950439,-75.164481,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19102,,,,,master only (1)
Health-Tech Institute of Memphis,Memphis,TN,38118,35.134385,-90.043086,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,18695,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,38118,,,,,master only (1)
Healthcare Career College,Paramount,CA,90723-5258,33.889719,-118.149645,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,374,NULL,NULL,NULL,NULL,NULL,24636,NULL,NULL,NULL,NULL,NULL,NULL,9500,9500,PrivacySuppressed,PrivacySuppressed,0.892857143,0.12755102,15939.29592,NULL,24533,NULL,90723,,,,,master only (1)
Healthcare Training Institute,Union,NJ,7083,40.696519,-74.268253,0.875,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,7365,NULL,NULL,NULL,NULL,NULL,NULL,8735,8113,PrivacySuppressed,PrivacySuppressed,0.91943128,0.21563981,27715.54502,62122.97,30260,NULL,7083,,,,,master only (1)
Healthcare Training Institute,Kenner,LA,70062-7630,29.973648,-90.246136,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,NULL,NULL,NULL,NULL,19318,NULL,NULL,NULL,NULL,NULL,NULL,10667,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,14840.09167,NULL,NULL,NULL,70062,,,,,master only (1)
Heartland Community College,Normal,IL,61761-9446,40.53301,-89.014776,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3030,9207,9593,12381,14194,14563,NULL,NULL,NULL,NULL,NULL,14705,NULL,7610,4690,5500,5518,0.565708419,0.070841889,41654.59497,62046.19,30283,NULL,61761,1.2164299,1.1072,1.48911,1.19442,matched (3)
Hebrew College,Newton Centre,MA,02459-2237,42.325677,-71.189226,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,111,2459,,,,,master only (1)
Hebrew Theological College,Skokie,IL,60077,42.010103,-87.760874,0.8333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,103,NULL,NULL,NULL,NULL,NULL,18314,8515,NULL,28145,22965,28145,0.0686,8500,PrivacySuppressed,PrivacySuppressed,8500,0.606060606,PrivacySuppressed,50317.15152,62643.23,31768,NULL,60077,,,,,master only (1)
Hebrew Union College-Jewish Institute of Religion,New York,NY,10012-1186,40.728938,-73.994499,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,PrivacySuppressed,NULL,335,10012,,,,,master only (1)
Hebrew Union College-Jewish Institute of Religion-Cincinnati,Cincinnati,OH,45220-3796,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,45220,,,,,master only (1)
Hebrew Union College-Jewish Institute of Religion-Los Angeles,Los Angeles,CA,90007-3796,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,90007,,,,,master only (1)
Heidelberg University,Tiffin,OH,44883-2462,41.114833,-83.168387,0.8106,535,535,22,21,22,NULL,1098,1021,NULL,NULL,NULL,NULL,NULL,16007,18842,18812,23286,25710,44381,0.5221,27000,16000,20500,20500,0.425696594,PrivacySuppressed,73856.40867,61648.4,37966,185,44883,1.55178,1.1961,1.68217,1.2391599,matched (3)
Helena College University of Montana,Helena,MT,59601,46.595384,-112.016035,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,645,10306,10463,13292,14476,15530,NULL,NULL,NULL,NULL,NULL,16155,NULL,16000,12000,9500,6726,0.5488,0.208,38084.7216,50421.45,31147,NULL,59601,0.91913003,0.81195003,1.03012,0.76841003,matched (3)
Helene Fuld College of Nursing,New York,NY,10035-2737,40.802495,-73.943356,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,525,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15250,13752,15190,15250,0.859693878,0.216836735,44239.42092,58612.56,86680,NULL,10035,,,,,master only (1)
Hellenic College-Holy Cross Greek Orthodox School of Theology,Brookline,MA,02445-7415,42.317018,-71.129418,0.5714,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,NULL,NULL,NULL,NULL,NULL,24057,22770,NULL,23881,26625,41282,0.6154,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.296296296,PrivacySuppressed,71008.42593,86162.77,39443,80,2445,,,,,master only (1)
Helms College,Macon,GA,31206-5309,32.803363,-83.732678,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,280,NULL,NULL,NULL,NULL,NULL,17211,18208,18389,23176,NULL,23176,NULL,9500,8044,9289,9286,0.590517241,0.168103448,23898.90086,NULL,NULL,NULL,31206,,,,,master only (1)
Henderson Community College,Henderson,KY,42420-4699,37.797687,-87.650091,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,838,4632,4709,7939,10288,10294,NULL,NULL,NULL,NULL,NULL,12017,NULL,11400,8332,7649,5500,0.679063361,0.180440771,30001.42011,49398.82,27978,NULL,42420,0.97196001,0.40479001,1.1528701,0.41225001,matched (3)
Henderson State University,Arkadelphia,AR,71999-0001,34.128155,-93.059703,0.749,513,495,22,22,21,NULL,1098,2603,13664,14172,15751,16021,15954,NULL,NULL,NULL,NULL,NULL,23005,0.3411,18933,11000,11230,11000,0.554341576,0.058079356,42411.97412,45548.96,32627,537,71999,1.15391,0.93409002,1.28268,1.00713,matched (3)
Hendrix College,Conway,AR,72032-3080,35.101565,-92.443256,0.7054,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1065,NULL,NULL,NULL,NULL,NULL,12822,10861,18120,22802,27119,64046,0.655,27000,20000,20500,22875,0.505952381,PrivacySuppressed,87378.76389,63550.03,38321,10,72032,1.6997,1.40532,1.7263401,1.4506,matched (3)
Hennepin Technical College,Brooklyn Park,MN,55445,45.096534,-93.397759,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3124,9462,9312,10799,13936,14805,NULL,NULL,NULL,NULL,NULL,15455,NULL,11713,11000,9500,8708,0.385503065,0.184637577,37217.41399,76004.8,41316,NULL,55445,1.27727,,1.64187,,matched (3)
Henrico County-Saint Marys Hospital School of Practical Nursing,Henrico,VA,23294,37.629016,-77.533196,0.6372,NULL,NULL,NULL,NULL,NULL,NULL,NULL,104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14000,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,23234.0625,58704.38,45439,NULL,23294,,,,,master only (1)
Henry Ford College,Dearborn,MI,48128-1495,42.324639,-83.236056,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9371,2310,3019,5971,9181,9724,NULL,NULL,NULL,NULL,NULL,10230,0.0976,15276,6855,7000,6531,0.573967974,0.096959013,25853.03467,54248.21,26679,NULL,48128,0.90197003,0.90199,1.43542,1.0943201,matched (3)
Heritage Bible College,Dunn,NC,28334,35.307368,-78.664393,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.448275862,0.379310345,44701.37931,47613.69,NULL,NULL,28334,,,,,master only (1)
Heritage Christian University,Florence,AL,35630-9977,34.856153,-87.663051,0.6667,NULL,NULL,NULL,NULL,NULL,12,NULL,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1429,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.56,33173.64,51048.04,32742,40,35630,,,,,master only (1)
Heritage University,Toppenish,WA,98948,46.3748,-120.394972,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,794,NULL,NULL,NULL,NULL,NULL,6407,6973,6475,15166,NULL,25478,0.4132,15897,12500,10679,15000,0.741648107,0.131403118,30386.03341,46851.84,36642,187,98948,0.73503,,0.83187002,,matched (3)
Heritage Valley Kennedy School of Nursing,McKees Rocks,PA,15136,40.472356,-80.091066,0.6833,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,NULL,NULL,NULL,NULL,NULL,20130,NULL,25630,NULL,NULL,29630,NULL,12000,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.20754717,58789.79245,59096.47,56754,NULL,15136,,,,,master only (1)
Herkimer County BOCES-Practical Nursing Program,Ilion,NY,13357,43.015797,-75.029952,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79,12722,NULL,NULL,15436,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9500,7850,PrivacySuppressed,PrivacySuppressed,0.882978723,0.255319149,28584.81915,44790.24,36067,NULL,13357,,,,,master only (1)
Herkimer County Community College,Herkimer,NY,13350-1598,43.032738,-75.007206,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1448,5427,7235,10480,12258,13925,NULL,NULL,NULL,NULL,NULL,14805,NULL,11795,7947,8250,8750,0.569654428,0.071274298,38750.44816,50752.66,30429,NULL,13350,1.20749,0.88712001,1.36994,0.95773,matched (3)
Herzing University-Akron,Akron,OH,44306-3931,41.02817,-81.493109,0.916,NULL,NULL,NULL,NULL,NULL,NULL,NULL,502,NULL,NULL,NULL,NULL,NULL,22034,22418,21684,24912,NULL,29020,0.3333,22052,10554,13976,15510,0.813546519,0.231272819,26184.2285,50381.77,30259,NULL,44306,,,,,master only (1)
Herzing University-Atlanta,Atlanta,GA,30303,33.754218,-84.387251,0.9247,NULL,NULL,NULL,NULL,NULL,NULL,NULL,691,NULL,NULL,NULL,NULL,NULL,24649,20630,27616,NULL,NULL,29587,0.1786,22052,10554,13976,15510,0.813546519,0.231272819,26184.2285,57868.59,30259,39,30303,,,,,master only (1)
Herzing University-Birmingham,Birmingham,AL,35209,33.468466,-86.832465,0.9153,NULL,NULL,NULL,NULL,NULL,NULL,NULL,612,NULL,NULL,NULL,NULL,NULL,25984,22950,26347,NULL,NULL,30319,0.2222,22052,10554,13976,15510,0.813546519,0.231272819,26184.2285,46871.43,30259,7,35209,,,,,master only (1)
Herzing University-Brookfield,Brookfield,WI,53005,43.035738,-88.110994,0.9333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,493,NULL,NULL,NULL,NULL,NULL,24621,28070,25137,27805,NULL,29268,0.7273,22052,10554,13976,15510,0.813546519,0.231272819,26184.2285,NULL,30259,4,53005,,,,,master only (1)
Herzing University-Kenosha,Kenosha,WI,53140,42.582628,-87.820105,0.914,NULL,NULL,NULL,NULL,NULL,NULL,NULL,666,NULL,NULL,NULL,NULL,NULL,16709,NULL,19349,NULL,28529,28529,0.5,22052,10554,13976,15510,0.813546519,0.231272819,26184.2285,NULL,30259,12,53140,,,,,master only (1)
Herzing University-Madison,Madison,WI,53718,43.14415,-89.291561,0.9191,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1642,NULL,NULL,NULL,NULL,NULL,23130,25342,24555,27235,22744,29140,0.4155,22052,10554,13976,15510,0.813546519,0.231272819,26184.2285,60281.46,30259,745,53718,,,,,master only (1)
Herzing University-Minneapolis,St. Louis Park,MN,55426,44.975225,-93.404863,0.9206,NULL,NULL,NULL,NULL,NULL,NULL,NULL,620,NULL,NULL,NULL,NULL,NULL,21305,26293,25318,NULL,NULL,28018,0.6471,22052,10554,13976,15510,0.813546519,0.231272819,26184.2285,71504.15,30259,6,55426,,,,,master only (1)
Herzing University-New Orleans,Metairie,LA,70002,30.019252,-90.155851,0.9211,NULL,NULL,NULL,NULL,NULL,NULL,NULL,443,NULL,NULL,NULL,NULL,NULL,24013,13314,NULL,NULL,NULL,30319,0.3077,22052,10554,13976,15510,0.813546519,0.231272819,26184.2285,57868.59,30259,19,70002,,,,,master only (1)
Herzing University-Orlando,Winter Park,FL,32792,28.615784,-81.312669,0.9231,NULL,NULL,NULL,NULL,NULL,NULL,NULL,692,NULL,NULL,NULL,NULL,NULL,24781,21803,19374,27841,NULL,30319,0.25,22052,10554,13976,15510,0.813546519,0.231272819,26184.2285,57868.59,30259,5,32792,,,,,master only (1)
Hesston College,Hesston,KS,67062-2093,38.134558,-97.433883,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,359,NULL,NULL,NULL,NULL,NULL,14922,15811,22116,19578,21164,40861,0.6313,12000,12000,12000,12000,0.578313253,0.105421687,64944.31325,56658.51,38920,NULL,67062,1.63748,1.20184,1.71451,1.23792,matched (3)
Hibbing Community College,Hibbing,MN,55746,47.422361,-92.921698,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,680,6310,7721,9378,12824,14308,NULL,NULL,NULL,NULL,NULL,14422,NULL,12000,9161,9500,7751,0.48441247,0.175059952,41068.15228,49031.51,35061,NULL,55746,1.30133,0.84559,1.46053,0.87074,matched (3)
High Desert Medical College,Lancaster,CA,93534,34.67613,-118.144328,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,973,NULL,NULL,NULL,NULL,NULL,28790,28723,31873,35118,NULL,NULL,NULL,15866,9500,10519,15125,0.912868633,0.138069705,21764.23727,NULL,NULL,NULL,93534,,,,,master only (1)
High Desert Medical College - Bakerfield,Bakersfield,CA,93301,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15866,9500,10519,15125,0.912868633,0.138069705,21764.23727,NULL,NULL,NULL,93301,,,,,master only (1)
High Desert Medical College - Temecula,Temecula,CA,92592,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15866,9500,10519,15125,NULL,NULL,NULL,NULL,NULL,NULL,92592,,,,,master only (1)
High Plains Technology Center,Woodward,OK,73801,36.40621,-99.427304,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,86,9373,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.606060606,0.242424242,20702.04546,45192.35,25697,NULL,73801,,,,,master only (1)
High Point University,High Point,NC,27268,35.972035,-79.994675,0.7705,580,575,25,25,23,NULL,1182,4608,NULL,NULL,NULL,NULL,NULL,31257,33503,35084,37746,42696,54296,0.6888,23250,14000,19500,19500,0.633381924,PrivacySuppressed,140274.1407,63207.13,46275,989,27268,1.73394,1.61366,1.80251,1.64015,matched (3)
High Tech High Graduate School of Education,San Diego,CA,92106,32.732001,-117.217661,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76,92106,,,,,master only (1)
Highland Community College,Freeport,IL,61032-9341,42.283344,-89.67342,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,931,5363,5455,8088,11797,11500,NULL,NULL,NULL,NULL,NULL,11969,NULL,8029,5455,5461,6751,0.609263658,0.103325416,32027.75534,54783.34,29492,NULL,61032,1.07294,0.84802997,1.37287,0.90474999,matched (3)
Highland Community College,Highland,KS,66035-4165,39.859987,-95.271539,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1504,5605,4798,7682,9055,8990,NULL,NULL,NULL,NULL,NULL,11540,NULL,9250,5183,5500,5500,0.521551724,0.109913793,40889.49641,52846.47,32143,NULL,66035,,,,,master only (1)
Highlands College of Montana Tech,Butte,MT,59701,45.938145,-112.509365,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,337,10042,10918,13789,15158,16040,NULL,NULL,NULL,NULL,NULL,16111,NULL,21500,13340,10267,9885,0.394348894,0.119164619,52631.86732,44236.75,44445,NULL,59701,,,,,master only (1)
Highlights Beauty Schools,Federal Way,WA,98003,47.320505,-122.304472,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,251,NULL,NULL,NULL,NULL,NULL,11262,11772,17302,17753,19566,NULL,NULL,10555,6435,9693,10455,0.960474308,0.144268775,41496.92095,68034.8,27659,NULL,98003,,,,,master only (1)
Highlights Beauty Schools,Mountlake Terrace,WA,98043,47.779174,-122.312814,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,NULL,9917,10787,18012,17173,19754,NULL,NULL,10555,6435,9693,10455,0.960474308,0.144268775,41496.92095,68034.8,27659,NULL,98043,,,,,master only (1)
Highline College,Des Moines,WA,98198-9800,47.388231,-122.303064,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4109,5273,6081,8479,9047,NULL,NULL,NULL,NULL,NULL,NULL,14125,0.3833,10486,7386,5259,5500,0.605825243,0.153883495,23868.70243,65376.6,36755,NULL,98198,1.44884,0.81343001,1.5548,0.89644998,matched (3)
Hilbert College,Hamburg,NY,14075-1597,42.75464,-78.820257,0.9171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,735,NULL,NULL,NULL,NULL,NULL,13173,12939,17402,20109,22470,31358,0.5679,26000,14750,15000,17500,0.571125265,0.036093418,56347.23779,58163.76,38321,55,14075,1.5052299,1.15488,1.6181999,1.21172,matched (3)
Hill College,Hillsboro,TX,76645,32.010928,-97.088332,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2133,6332,6242,8894,11870,13437,NULL,NULL,NULL,NULL,NULL,13437,NULL,10500,9500,6365,5500,0.616752725,0.183017785,33972.45783,52377.48,29403,NULL,76645,1.20099,0.96060997,1.3299299,1.03026,matched (3)
Hillsborough Community College,Tampa,FL,33606-3584,27.934888,-82.456253,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19523,2919,6712,5345,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9288,NULL,9584,7102,5500,5500,0.604787388,0.111223604,29944.74949,56827.04,31576,NULL,33606,0.89565003,0.93853003,1.15715,1.08418,matched (3)
Hillsdale Beauty College,Coldwater,MI,49036-0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,49036,,,,,master only (1)
Hillsdale Beauty College,Hillsdale,MI,49242,41.918718,-84.631429,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,8950,10623,11319,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,35580.35294,56463.51,17883,NULL,49242,,,,,master only (1)
Hillsdale College,Hillsdale,MI,49242,41.933682,-84.633195,0.3648,695,682,31,33,29,NULL,1398,1445,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8781,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77,49242,1.60934,1.55831,1.74861,1.5687799,matched (3)
Hilltop Beauty School,Daly City,CA,94014,37.705502,-122.461467,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,104,NULL,NULL,NULL,NULL,NULL,15723,15663,16251,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.918699187,0.300813008,23845.58537,80406.55,23369,NULL,94014,,,,,master only (1)
