instnm,city,stabbr,zip,latitude,longitude,adm_rate,sat_mid_read,sat_mid_math,act_mid_cumulative,act_mid_english,act_mid_math,act_mid_writing,sat_avg,ug_enrol,nprice_pub_cat1,nprice_pub_cat2,nprice_pub_cat3,nprice_pub_cat4,nprice_pub_cat5,nprice_pvt_cat1,nprice_pvt_cat2,nprice_pvt_cat3,nprice_pvt_cat4,nprice_pvt_cat5,avg_cost_attendance,completion_rate,grad_debt_median,grad_debt_med_LY,grad_debt_med_MY,grad_debt_med_HY,female,married,avg_familyincome,median_householdincome,median_earn_aftr6yr,number_gradstudent,zipcode,own_sc_low,parent_sc_low,own_sc_high,parent_sc_high,_merge
The Art Institute of Austin,Bastrop,TX,78602,30.110905,-97.313486,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,228,NULL,NULL,NULL,NULL,NULL,23689,28782,28743,NULL,31316,33114,0.2459,31000,18195,19000,21248,0.463214286,0.140357143,35449.89393,NULL,29358,NULL,78602,1.41327,,1.5102299,,matched (3)
The Art Institute of Houston,Houston,TX,77027-9625,29.73025,-95.445766,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,497,NULL,NULL,NULL,NULL,NULL,20601,23585,23492,19381,26440,28348,0.3,31000,18195,19000,21248,0.463214286,0.140357143,35449.89393,66013.77,29358,NULL,77027,1.45724,,1.62517,,matched (3)
The Art Institute of San Antonio,San Antonio,TX,78230,29.532925,-98.56556,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,374,NULL,NULL,NULL,NULL,NULL,22026,20743,26588,27231,24751,29968,0.2137,31000,18195,19000,21248,0.463214286,0.140357143,35449.89393,NULL,29358,NULL,78230,,,,,matched (3)
The Art Institute of Virginia Beach,Virginia Beach,VA,23462,36.842383,-76.131737,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,215,NULL,NULL,NULL,NULL,NULL,20978,18113,25618,26346,NULL,30201,0.5,30750,16000,17500,17897,0.488700565,0.103389831,31804.23107,NULL,26214,NULL,23462,,,,,master only (1)
The Baptist College of Florida,Graceville,FL,32440,30.962708,-85.503931,0.7556,540,490,21,22,20,NULL,1055,268,NULL,NULL,NULL,NULL,NULL,8889,9421,14509,NULL,16970,19926,0.5,18550,13543,15918,11730,0.47311828,0.188172043,40663.1828,50305.97,28791,28,32440,,,,,master only (1)
The Barber School,Midvale,UT,84047-3723,40.621415,-111.891446,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,146,NULL,NULL,NULL,NULL,NULL,18655,18324,19122,NULL,NULL,NULL,NULL,7733,5500,PrivacySuppressed,PrivacySuppressed,0.122580645,0.264516129,33115.37419,NULL,26095,NULL,84047,,,,,master only (1)
The Beauty Institute,Stroudsburg,PA,18360-1720,40.989612,-75.223872,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36,NULL,NULL,NULL,NULL,NULL,17413,20746,21343,NULL,NULL,NULL,NULL,11411,10181,PrivacySuppressed,PrivacySuppressed,0.905660377,0.103773585,29394.93396,66207.74,17962,NULL,18360,,,,,master only (1)
The Beauty Institute,Philadelphia,PA,19115,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10488,9500,7519,8028,0.921348315,0.060674157,28622.65843,54067.77,20479,NULL,19115,,,,,master only (1)
The Beauty Institute,West  Palm Beach,FL,33409,26.710119,-80.111689,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,9193,13338,13783,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.46875,0.171875,12927.14063,51766.84,20081,NULL,33409,,,,,master only (1)
The Beauty Institute-Ambler,Ambler,PA,19002,40.154233,-75.222204,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,141,NULL,NULL,NULL,NULL,NULL,15754,19278,20278,NULL,NULL,NULL,NULL,10488,9500,7519,8028,0.921348315,0.060674157,28622.65843,54067.77,20479,NULL,19002,,,,,master only (1)
